situationCateKey,situationCategory1,situationCategory2,situationCategory3
7771111,연말,힐링,피로회복
7771112,연말,파티,홈파티
7771113,연말,집콕,힐링
7771114,연말,여행,따뜻한 추억
7771115,연말,선물,특별한 선물
7771116,연말,선물,자기만족
7771117,겨울,스킨케어,보습
7771118,겨울,보온,따뜻함
7771119,겨울,건강,면역력
7771120,새해,건강 관리,건강 차
7771121,일상,힐링,"조명, 향기"
7771122,겨울,힐링,피로 해소
7771123,겨울,인테리어,겨울 감성
7771124,새해,피트니스,자기관리
7771125,연말,크리스마스,선물
7771126,연말,크리스마스,홈파티
7771127,연말,크리스마스,인테리어
7771128,연말,크리스마스,힐링
7771129,연말,크리스마스,기록
7771130,연말,크리스마스,따뜻함
7771131,연말,크리스마스,감성
7771132,연말,크리스마스,휴식
7771133,연말,크리스마스,활동
7771134,연말,크리스마스,장식
7771135,연말,크리스마스,특별한 순간
7771137,연말,크리스마스,감동
7771138,연말,크리스마스,가족
